餐厅名称,餐厅种类,所在地区,餐厅地址,点评数量,人均价格,评分
点都德(大中华店),粤菜,岗厦,福田街道深南大道和彩田路交汇处大中华IFC四楼,1028,￥98,五星商户
合気屋·居酒屋,日本料理,南山中心区,南山大道2009号亿利达村3栋112,501,￥129,五星商户
妞妞国际西点蛋糕培训学校(布吉总校),职业技术,布吉,布吉京南路锦龙大厦10楼1003铺,34,￥6313,五星商户
极炙·台湾精致炭火烧肉(京基100大厦店),烧烤,KKMAll 京基100大厦,红宝路蔡屋围5街48号涵舍3楼,2149,￥238,五星商户
大阪烧肉BAKA一代(国贸店),日本料理,国贸,南湖路3009号国贸商厦2A2H,3630,￥258,五星商户
炉火时代韩式炭火烤肉,烧烤,西乡,西乡大道永丰社区八区56号,159,￥79,五星商户
东记美食馆(kk mall店),粤菜,KKMAll 京基100大厦,蔡屋围五街46号,353,￥94,五星商户
神龙小龙虾(南山店),小龙虾,南山中心区,南山大道南航公司斜对面南苑宾馆往里走15米,170,￥90,准五星商户
利宝阁(嘉里店),粤菜,市中心区,中心四路嘉里建设广场三座2楼,14600,￥163,准五星商户
有间桐坑牛肉粿,粤菜,宝安南路沿线,嘉宾路蔡屋围新七坊53-1号,158,￥24,五星商户
潮香四海(正宗潮汕风味南山店),粤菜,南油,南山大道1110号南海大厦首层105、106号,343,￥84,准五星商户
江味龙虾馆(南山店),小龙虾,南头,桂庙路40号,3156,￥132,准五星商户
潜江油焖小龙虾(华南城分店),小龙虾,平湖,华南城兰桂坊酒吧美食街D1（汕头福合埕牛肉火锅隔壁）,45,￥10,三星商户
点都德(A8店),粤菜,南山区,科园路1002号A8音乐大厦4F,378,￥86,准五星商户
岚LAN·SUSHI&COCKTAIL,日本料理,石厦,石厦北二街新天世纪商务中心A座4102室,176,￥248,准五星商户
Lodestone吸铁石 日式烧肉,日本料理,蛇口,工业三路1号汇港购物广场二楼219号商铺,925,￥226,五星商户
极炙·台湾精致炭火烧肉(车公庙店),日本料理,车公庙,泰然九路21-2号,641,￥226,五星商户
龙巢盱眙龙虾(香蜜湖店),小龙虾,香蜜湖,香蜜湖美食城A10号,2909,￥147,四星商户
小草日式料理·听说很好吃日料,日本料理,宝安南路沿线,红宝路57-1号,601,￥105,五星商户
潮香四海(正宗潮汕风味下沙总店),粤菜,上沙/下沙,下沙三坊49号,1764,￥77,准五星商户
渡来割烹,日本料理,南山中心区,文心六路33号保利文化广场A区4楼,153,￥621,五星商户
蘩楼(宝安南路店),粤菜,宝安南路沿线,宝安南路2078号深港豪苑名商阁2樓,4543,￥79,准五星商户
台湾茶餐厅,台湾菜,新安,甲岸村15栋,348,￥39,五星商户
San Marco圣马可意大利西餐厅(中洲店),西餐,海岸城,海德二道98-100号中洲国际B座2A,541,￥147,五星商户
旬野菜新派日式火锅(卓悦intown店),日本料理,市中心区,福华三路卓悦intown商场3楼L328,780,￥165,准五星商户
植藤·匠日本料理,日本料理,南山中心区,海德一道88号中洲控股中心A座44F,717,￥1113,五星商户
妞妞国际西点蛋糕培训学校(龙华分校),职业技术,清湖地铁站,圣博雅商务中心2楼,30,￥8694,五星商户
蒸的好海鲜馆,海鲜,蛇口,南海大道蛇口网谷万融大厦C座G层101,982,￥193,准五星商户
青筠焱烧肉·酒巷(福田店),日本料理,上沙/下沙,福荣路万科金域蓝湾114-115铺,603,￥266,五星商户
顶真牛肉潮式火锅(湾厦店),火锅,蛇口,蛇口街道后海大道1027号东南工贸大厦一楼,1354,￥99,五星商户
虾胡闹,小龙虾,蛇口,蛇口街道中心路卓越维港北区4-7-102商铺,294,￥150,五星商户
食冶日本料理铁板烧(南山海岸城店),自助餐,海岸城,海德二道海岸大廈西座3楼,1189,￥337,四星商户
2046湘味厨房(蛇口1店),湘菜,蛇口,工业三路百盈医疗器械园B109号铺,1256,￥161,准五星商户
汕头八合里海记牛肉店(海岸城店),火锅,海岸城,粤海街道海德三道19号海岸大厦西座301A-302A,2213,￥92,准五星商户
KiMi轻米创意菜•音乐吧,创意菜,华强北,燕南路8号2楼,263,￥92,五星商户
麻小丨麻辣诱惑(KKMALL店),小龙虾,KKMAll 京基100大厦,深南东路京基百纳空间KKMALL4层,184,￥145,五星商户
粤A精酿啤酒,酒吧,南油,四海路紫竹园东门底商2层217-218号,24,￥41,五星商户
饭聚(水围店),粤菜,皇岗,福田街道水围村39号,588,￥96,准五星商户
点都德(龙华店),粤菜,民治,/宝安区/民治大道567号UONE优城北区二层,670,￥89,准五星商户
四叶寿司(华侨城店),日本料理,华侨城,深南大道9001号锦绣中华大门东侧50米,954,￥1335,五星商户
点都德(kk one店),粤菜,上沙/下沙,滨河大道滨河时代KKONE购物中心负一楼,756,￥88,准五星商户
幸福西饼蛋糕(科苑店),面包甜点,科技园,粤海街道科苑路园西工业区25栋三段405,38,￥112,四星商户
火桶1971,韩国料理,香蜜湖,农林路5号鑫竹苑B栋生活广场二楼,1141,￥94,准五星商户
九格子重庆火锅店,火锅,国贸,东门南路1019号向西文锦渡商业大厦1层,187,￥106,五星商户
点都德(皇岗村店),粤菜,皇岗,/福田区/皇岗村下围二村66号2-3楼,895,￥87,准五星商户
我爱寿司·有炙气(壹店),日本料理,新安,甲岸村16栋,921,￥81,准五星商户
彩虹湾海鲜餐吧,海鲜,南澳,较场尾海滨路10-1号,75,￥247,三星商户
清水煮一切(海岸城店),火锅,南山中心区,海德一道观海台底商B-03,107,￥30,准五星商户
汕头八合里海记牛肉店(南园路店),火锅,华强南,南园街道爱华路南沙浦头大厦首层48号,4401,￥89,准五星商户
点都德(华强南店),粤菜,华强南,华强南路2002号南华花园2F,3520,￥91,准五星商户
虎喰烧肉.酒场(购物公园店),日本料理,市中心区,购物公园北园B区一区,901,￥335,准五星商户
潮汕大目牛肉火锅(海岸城店),火锅,海岸城,文心五路33号海岸城东座2楼245号,359,￥87,四星商户
民笑韩国料理,韩国料理,香蜜湖,侨香东路1011号1979文化新天地B区3层307A,2479,￥143,准五星商户
日和の日式料理•居酒屋,日本料理,白石洲,沙河街55-14号白石洲地铁站A出口,142,￥105,准五星商户
四叶寿司(香蜜湖店),日本料理,香蜜湖,侨香路1011号1979文化新天地301号4叶天香3楼,334,￥1231,五星商户
满粉厨房,西北菜,福田区,下沙一坊37号103满粉,53,￥24,五星商户
一芳台湾水果茶(横岗志健广场店),面包甜点,横岗,志健时代广场外铺1A-33铺,27,￥22,准四星商户
汕头八合里海记牛肉店(南头店),火锅,南头,南头街279号,6196,￥90,准五星商户
海月百味馆(后海店),粤菜,蛇口,后海大道招商地产海月花园会所1楼,849,￥131,准五星商户
鱼禾岸日式料理,日本料理,八卦岭/园岭,八卦一路城市主场小区二楼店铺231号,175,￥80,五星商户
阳少爷成都串串香,火锅,东门商业圈,南湖街道向西路92号,438,￥78,五星商户
